Source,Target,Weight
2.000000,1.000000,627.000000
1.000000,2.000000,627.000000
3.000000,2.000000,738.000000
2.000000,3.000000,738.000000
4.000000,3.000000,267.000000
5.000000,3.000000,261.000000
3.000000,4.000000,267.000000
7.000000,4.000000,217.000000
3.000000,5.000000,261.000000
6.000000,5.000000,218.000000
5.000000,6.000000,218.000000
8.000000,6.000000,224.000000
4.000000,7.000000,217.000000
9.000000,7.000000,218.000000
6.000000,8.000000,224.000000
11.000000,8.000000,235.000000
7.000000,9.000000,218.000000
10.000000,9.000000,241.000000
9.000000,10.000000,241.000000
12.000000,10.000000,295.000000
8.000000,11.000000,235.000000
12.000000,11.000000,264.000000
10.000000,12.000000,295.000000
11.000000,12.000000,264.000000
13.000000,12.000000,707.000000
12.000000,13.000000,707.000000
14.000000,13.000000,631.000000
13.000000,14.000000,631.000000
