Source,Target,Weight
2.000000,1.000000,1279.000000
1.000000,2.000000,1279.000000
3.000000,2.000000,1822.000000
2.000000,3.000000,1822.000000
4.000000,3.000000,1635.000000
3.000000,4.000000,1635.000000
5.000000,4.000000,1928.000000
4.000000,5.000000,1928.000000
6.000000,5.000000,528.000000
7.000000,5.000000,528.000000
8.000000,5.000000,590.000000
5.000000,6.000000,528.000000
5.000000,7.000000,528.000000
5.000000,8.000000,590.000000
9.000000,8.000000,397.000000
8.000000,9.000000,397.000000
10.000000,9.000000,332.000000
9.000000,10.000000,332.000000
11.000000,10.000000,315.000000
10.000000,11.000000,315.000000
12.000000,11.000000,316.000000
11.000000,12.000000,316.000000
13.000000,12.000000,323.000000
12.000000,13.000000,323.000000
14.000000,13.000000,349.000000
13.000000,14.000000,349.000000
15.000000,14.000000,537.000000
14.000000,15.000000,537.000000
17.000000,15.000000,1243.000000
21.000000,16.000000,34.000000
15.000000,17.000000,1243.000000
20.000000,17.000000,2464.000000
19.000000,18.000000,34.000000
18.000000,19.000000,34.000000
22.000000,19.000000,169.000000
17.000000,20.000000,2464.000000
23.000000,20.000000,1832.000000
16.000000,21.000000,34.000000
24.000000,21.000000,169.000000
19.000000,22.000000,169.000000
27.000000,22.000000,235.000000
20.000000,23.000000,1832.000000
26.000000,23.000000,2473.000000
21.000000,24.000000,169.000000
25.000000,24.000000,235.000000
24.000000,25.000000,235.000000
30.000000,25.000000,328.000000
23.000000,26.000000,2473.000000
28.000000,26.000000,309.000000
29.000000,26.000000,309.000000
30.000000,26.000000,1051.000000
22.000000,27.000000,235.000000
30.000000,27.000000,328.000000
26.000000,28.000000,309.000000
26.000000,29.000000,309.000000
25.000000,30.000000,328.000000
26.000000,30.000000,1051.000000
27.000000,30.000000,328.000000
31.000000,30.000000,1621.000000
30.000000,31.000000,1621.000000
32.000000,31.000000,1650.000000
31.000000,32.000000,1650.000000
33.000000,32.000000,1194.000000
32.000000,33.000000,1194.000000
34.000000,33.000000,812.000000
33.000000,34.000000,812.000000
36.000000,34.000000,1909.000000
37.000000,35.000000,576.000000
34.000000,36.000000,1909.000000
38.000000,36.000000,2052.000000
35.000000,37.000000,576.000000
43.000000,37.000000,1339.000000
36.000000,38.000000,2052.000000
43.000000,38.000000,887.000000
52.000000,39.000000,16.000000
55.000000,40.000000,16.000000
53.000000,41.000000,16.000000
54.000000,42.000000,16.000000
37.000000,43.000000,1339.000000
38.000000,43.000000,887.000000
56.000000,43.000000,2929.000000
50.000000,44.000000,4.000000
51.000000,45.000000,4.000000
59.000000,46.000000,16.000000
59.000000,47.000000,16.000000
60.000000,48.000000,16.000000
60.000000,49.000000,16.000000
44.000000,50.000000,4.000000
60.000000,50.000000,12.000000
45.000000,51.000000,4.000000
59.000000,51.000000,12.000000
39.000000,52.000000,16.000000
41.000000,53.000000,16.000000
42.000000,54.000000,16.000000
40.000000,55.000000,16.000000
43.000000,56.000000,2929.000000
57.000000,56.000000,26.000000
58.000000,56.000000,2547.000000
56.000000,57.000000,26.000000
56.000000,58.000000,2547.000000
61.000000,58.000000,950.000000
46.000000,59.000000,16.000000
47.000000,59.000000,16.000000
51.000000,59.000000,12.000000
63.000000,59.000000,48.000000
48.000000,60.000000,16.000000
49.000000,60.000000,16.000000
50.000000,60.000000,12.000000
62.000000,60.000000,48.000000
58.000000,61.000000,950.000000
60.000000,62.000000,48.000000
64.000000,62.000000,48.000000
59.000000,63.000000,48.000000
65.000000,63.000000,48.000000
62.000000,64.000000,48.000000
66.000000,64.000000,64.000000
63.000000,65.000000,48.000000
67.000000,65.000000,64.000000
64.000000,66.000000,64.000000
65.000000,67.000000,64.000000
