Id,NSize,LensAverage,LabelAverage
1.000000,5.000000,0.680399,14293.900763
2.000000,126.000000,0.680399,14293.900763
3.000000,1.000000,0.691642,14622.211268
4.000000,211.000000,0.691642,14622.211268
5.000000,1.000000,0.691642,14622.211268
6.000000,314.000000,0.704729,15683.977011
7.000000,17.000000,0.704729,15683.977011
8.000000,17.000000,0.704729,15683.977011
9.000000,426.000000,0.716588,15793.765343
10.000000,64.000000,0.716588,15793.765343
11.000000,64.000000,0.716588,15793.765343
12.000000,528.000000,0.728677,15316.085271
13.000000,123.000000,0.728677,15316.085271
14.000000,123.000000,0.728677,15316.085271
15.000000,3.000000,0.740960,15247.179724
16.000000,1077.000000,0.740960,15247.179724
17.000000,3.000000,0.740960,15247.179724
18.000000,1.000000,0.740960,15247.179724
19.000000,1.000000,0.740960,15247.179724
20.000000,1544.000000,0.752976,15496.702073
21.000000,1650.000000,0.763355,15283.367273
22.000000,273.000000,0.775412,14724.350927
23.000000,856.000000,0.775412,14724.350927
24.000000,273.000000,0.775412,14724.350927
25.000000,213.000000,0.787327,14964.453438
26.000000,213.000000,0.787327,14964.453438
27.000000,723.000000,0.787327,14964.453438
28.000000,181.000000,0.801426,16530.573859
29.000000,181.000000,0.801426,16530.573859
30.000000,755.000000,0.801426,16530.573859
31.000000,154.000000,0.812682,18523.285124
32.000000,154.000000,0.812682,18523.285124
33.000000,902.000000,0.812682,18523.285124
34.000000,133.000000,0.824549,20842.655331
35.000000,133.000000,0.824549,20842.655331
36.000000,822.000000,0.824549,20842.655331
37.000000,735.000000,0.837343,22798.787909
38.000000,274.000000,0.837343,22798.787909
39.000000,748.000000,0.849763,24036.300935
40.000000,322.000000,0.849763,24036.300935
41.000000,774.000000,0.861797,24739.541379
42.000000,386.000000,0.861797,24739.541379
43.000000,808.000000,0.874682,26103.750000
44.000000,532.000000,0.874682,26103.750000
45.000000,394.000000,0.887099,27460.085170
46.000000,394.000000,0.887099,27460.085170
47.000000,891.000000,0.887099,27460.085170
48.000000,582.000000,0.899277,29137.229423
49.000000,582.000000,0.899277,29137.229423
50.000000,950.000000,0.899277,29137.229423
51.000000,753.000000,0.910728,30448.986525
52.000000,210.000000,0.910728,30448.986525
53.000000,743.000000,0.910728,30448.986525
54.000000,743.000000,0.910728,30448.986525
55.000000,554.000000,0.920696,29036.620303
56.000000,554.000000,0.920696,29036.620303
57.000000,747.000000,0.920696,29036.620303
58.000000,194.000000,0.920696,29036.620303
59.000000,161.000000,0.932503,23349.959933
60.000000,161.000000,0.932503,23349.959933
61.000000,684.000000,0.932503,23349.959933
62.000000,192.000000,0.932503,23349.959933
63.000000,646.000000,0.947189,18294.199531
64.000000,206.000000,0.947189,18294.199531
65.000000,677.000000,0.959500,18428.353143
66.000000,198.000000,0.959500,18428.353143
67.000000,872.000000,0.973148,18847.904494
68.000000,196.000000,0.973148,18847.904494
69.000000,1403.000000,0.985628,20069.170732
70.000000,196.000000,0.985628,20069.170732
71.000000,1842.000000,0.996272,20961.621197
72.000000,196.000000,0.996272,20961.621197
73.000000,1572.000000,1.006775,20548.923337
74.000000,202.000000,1.006775,20548.923337
75.000000,1190.000000,1.020390,18840.551355
76.000000,212.000000,1.020390,18840.551355
77.000000,1288.000000,1.033438,18415.305389
78.000000,215.000000,1.033438,18415.305389
79.000000,1810.000000,1.046449,18456.578194
80.000000,217.000000,1.046449,18456.578194
81.000000,2182.000000,1.057218,18233.841348
82.000000,251.000000,1.057218,18233.841348
83.000000,1791.000000,1.068124,17969.754335
84.000000,285.000000,1.068124,17969.754335
85.000000,248.000000,1.082785,18432.491058
86.000000,1377.000000,1.082785,18432.491058
87.000000,332.000000,1.082785,18432.491058
88.000000,814.000000,1.095437,19162.964127
89.000000,1522.000000,1.095437,19162.964127
90.000000,368.000000,1.095437,19162.964127
91.000000,1013.000000,1.106431,19188.696997
92.000000,1904.000000,1.106431,19188.696997
93.000000,380.000000,1.106431,19188.696997
94.000000,416.000000,1.119190,19118.689421
95.000000,3261.000000,1.119190,19118.689421
96.000000,482.000000,1.130607,19151.813282
97.000000,3674.000000,1.130607,19151.813282
98.000000,1013.000000,1.141978,21026.888640
99.000000,3001.000000,1.141978,21026.888640
100.000000,69.000000,1.154869,23778.523359
101.000000,1916.000000,1.154869,23778.523359
102.000000,1504.000000,1.154869,23778.523359
103.000000,1389.000000,1.166304,24018.477683
104.000000,1546.000000,1.166304,24018.477683
105.000000,1252.000000,1.177298,24691.753997
106.000000,687.000000,1.177298,24691.753997
107.000000,32.000000,1.192304,25873.868597
108.000000,32.000000,1.192304,25873.868597
109.000000,1283.000000,1.192304,25873.868597
110.000000,32.000000,1.204688,23386.211703
111.000000,32.000000,1.204688,23386.211703
112.000000,1457.000000,1.204688,23386.211703
113.000000,32.000000,1.215873,22719.826544
114.000000,32.000000,1.215873,22719.826544
115.000000,1458.000000,1.215873,22719.826544
116.000000,32.000000,1.228958,23370.533981
117.000000,32.000000,1.228958,23370.533981
118.000000,1378.000000,1.228958,23370.533981
119.000000,1595.000000,1.241635,22639.110511
120.000000,70.000000,1.241635,22639.110511
121.000000,41.000000,1.251734,22393.142331
122.000000,41.000000,1.251734,22393.142331
123.000000,996.000000,1.251734,22393.142331
124.000000,552.000000,1.251734,22393.142331
125.000000,1291.000000,1.264766,23187.531499
126.000000,90.000000,1.264766,23187.531499
127.000000,1196.000000,1.277194,22241.695719
128.000000,112.000000,1.277194,22241.695719
